description,fav_number,sidebar_color,tweet_count,name,gender
0.0,0,other,1,sheezy0,0
1.0,0,blue,0,DavdBurnett,0
0.0,1,blue,0,lwtprettylaugh,0
1.0,0,blue,0,douggarland,0
1.0,1,0,1,WilfordGemma,1
0.0,1,0,1,monroevicious,1
0.0,0,blue,1,RobinMeske,0
0.0,1,0,0,pigzilla_,1
1.0,1,other,1,GabrieleNeher,1
0.0,1,other,1,kaylanabrewer_,1
0.0,1,other,1,cheyflan,1
0.0,0,blue,1,Ayu7sith4,1
0.0,1,other,1,Toucaan_Samm,1
1.0,0,blue,0,SSmyth2010,0
0.0,0,blue,0,DarkToonsGaming,0
1.0,1,0,1,jlpeter37,1
0.0,1,other,1,SarahMaddry,1
0.0,0,blue,0,bethleia,1
0.0,1,blue,0,StrictlyAri,0
0.0,0,blue,0,JHurkett,0
1.0,0,blue,0,karenhbullard,1
0.0,1,other,1,DearMoonshine__,1
1.0,1,other,1,RinCutie,0
1.0,0,other,1,HalRappaport,0
0.0,1,other,0,sarahamiels,1
1.0,0,blue,1,TB12ForPrez,0
1.0,0,other,1,300Stain,0
0.0,0,other,1,__amira_,1
1.0,1,other,0,brandonpattrson,0
1.0,0,other,1,danydifazio,0
0.0,1,blue,0,mrshoran_girl,0
1.0,0,blue,0,KABULALA,0
0.0,0,other,1,DJKRO,0
0.0,0,other,0,alexandraalice,1
0.0,1,blue,1,OllieC9897,0
0.0,1,blue,0,sfwhmnzne,1
1.0,0,blue,1,home8biz,0
1.0,0,blue,1,llIUMINATlRESMl,1
1.0,0,other,0,sh6ne,0
0.0,0,other,0,Joohnlennon3,0
0.0,1,blue,1,Scott_Ryan_,0
1.0,0,blue,0,Zoe_o_Ebot,1
0.0,1,0,1,manikarthik,0
0.0,1,other,1,cheer_diva97,1
0.0,1,blue,1,BURNSlVAN,1
1.0,0,0,0,MrABPhotog,0
1.0,1,other,0,Moonfell44,1
0.0,1,other,1,realangelhes,0
1.0,1,other,1,alanhudson1,0
0.0,0,other,1,Miss_Masaya,1
0.0,0,blue,0,RAEHEREEEE,1
1.0,0,0,1,Ilse_Futbolista,1
1.0,0,blue,0,ShitApolloYells,0
0.0,0,blue,0,butkick2000,0
1.0,0,other,1,Odi_SH,0
1.0,0,blue,0,AngieMozart,1
1.0,0,blue,1,BuzzellNatalie,1
0.0,0,blue,0,cyrusodessa,0
1.0,0,other,1,WisemanKayo,0
0.0,0,blue,1,YemiSureGirl,1
1.0,1,other,1,smizz,1
1.0,0,0,0,angie48534918,1
1.0,0,blue,0,techcheckrepair,0
1.0,1,0,1,JakeElman,0
0.0,1,other,1,Madelineh28,1
0.0,0,blue,0,NotNuttyKarl,1
1.0,0,other,0,Adrien_RG,0
0.0,1,other,0,ClemsonJohn,0
0.0,0,0,0,movieskink,1
1.0,1,0,0,Shady1277,0
0.0,1,blue,0,ilovegiraffes_,1
1.0,1,other,1,oddbennett,0
1.0,0,blue,0,LmarieAsad,1
1.0,0,0,1,AliciaVRuiz,1
0.0,1,0,1,KingClay__,0
1.0,1,0,1,thepanda_karina,1
0.0,1,0,0,sh4nnonmiller,1
0.0,0,blue,1,Ayu7sith4,1
0.0,1,other,1,DrRockt0pus,0
0.0,0,blue,0,buomar94,0
0.0,0,blue,0,mill_isit,1
0.0,1,blue,1,Mydickboyyy,1
1.0,0,blue,1,ArdithBordonaro,1
1.0,0,blue,0,spikenewlyn,0
0.0,1,other,1,fuckgivenchy,0
1.0,0,other,0,mickbk,0
0.0,0,other,0,rorylitwin,0
1.0,0,blue,1,DianaTsang1,1
1.0,0,blue,1,iSpeak9ja,1
0.0,1,other,1,downeysmile,0
1.0,0,other,1,kilpatrickeolue,1
0.0,1,other,1,POWERPUFFBROOKE,1
0.0,1,0,1,mirakyun,0
1.0,1,blue,1,kayadfi,1
1.0,0,0,1,6SEISS6,1
0.0,1,blue,1,lesatorr,0
0.0,1,other,1,babisofia,1
1.0,1,0,1,SouthAfricanEQ,1
1.0,0,other,1,Aethylred,0
0.0,1,other,0,yananues,1
0.0,1,other,1,constanshow,1
1.0,1,0,1,coloredcharms,0
1.0,0,other,0,ponder76,1
1.0,0,other,1,msrainerain,1
1.0,0,blue,0,LouanneGaffe,1
1.0,0,other,0,jenkoons,1
1.0,0,other,0,colltreese,1
1.0,0,0,0,RoastmeisterLLC,0
1.0,0,blue,1,TomOrr777,0
0.0,0,other,1,_paassiioonn,1
1.0,1,0,1,bIuesavages,0
