description,fav_number,sidebar_color,tweet_count,name,gender
0.0,0,white,3,sheezy0,0
2.0,0,blue,1,DavdBurnett,0
1.0,3,blue,1,lwtprettylaugh,0
3.0,1,blue,0,douggarland,0
3.0,3,other,3,WilfordGemma,1
0.0,2,other,2,monroevicious,1
1.0,0,blue,3,RobinMeske,0
1.0,2,other,0,pigzilla_,1
3.0,2,white,2,GabrieleNeher,1
1.0,2,white,2,kaylanabrewer_,1
1.0,3,white,2,cheyflan,1
0.0,0,blue,3,Ayu7sith4,1
0.0,2,other,2,Toucaan_Samm,1
2.0,0,blue,0,SSmyth2010,0
0.0,0,blue,0,DarkToonsGaming,0
3.0,3,other,2,jlpeter37,1
1.0,3,other,2,SarahMaddry,1
0.0,0,blue,0,bethleia,1
1.0,2,blue,0,StrictlyAri,0
1.0,1,blue,1,JHurkett,0
2.0,1,blue,0,karenhbullard,1
1.0,2,other,3,DearMoonshine__,1
3.0,2,white,3,RinCutie,0
3.0,0,white,2,HalRappaport,0
1.0,2,white,1,sarahamiels,1
3.0,1,blue,3,TB12ForPrez,0
2.0,0,white,3,300Stain,0
1.0,1,other,3,__amira_,1
2.0,2,white,1,brandonpattrson,0
3.0,0,other,2,danydifazio,0
1.0,2,blue,1,mrshoran_girl,0
2.0,1,blue,1,KABULALA,0
1.0,0,white,3,DJKRO,0
1.0,1,other,0,alexandraalice,1
1.0,2,blue,3,OllieC9897,0
0.0,2,blue,0,sfwhmnzne,1
2.0,0,blue,3,home8biz,0
2.0,0,blue,3,llIUMINATlRESMl,1
2.0,0,white,1,sh6ne,0
0.0,0,other,1,Joohnlennon3,0
1.0,3,blue,3,Scott_Ryan_,0
2.0,0,blue,1,Zoe_o_Ebot,1
0.0,2,other,3,manikarthik,0
0.0,3,other,2,cheer_diva97,1
1.0,3,blue,3,BURNSlVAN,1
3.0,0,other,1,MrABPhotog,0
2.0,3,other,0,Moonfell44,1
1.0,3,white,3,realangelhes,0
3.0,2,other,2,alanhudson1,0
1.0,1,other,3,Miss_Masaya,1
1.0,0,blue,0,RAEHEREEEE,1
3.0,1,other,3,Ilse_Futbolista,1
3.0,0,blue,1,ShitApolloYells,0
0.0,1,blue,0,butkick2000,0
3.0,1,other,3,Odi_SH,0
2.0,0,blue,0,AngieMozart,1
2.0,0,blue,2,BuzzellNatalie,1
1.0,1,blue,0,cyrusodessa,0
2.0,1,other,3,WisemanKayo,0
1.0,0,blue,2,YemiSureGirl,1
