unit_id,description,fav_number,sidebar_color,tweet_count,name,gender
815719226,0.0,0,other,1,sheezy0,0
815719227,0.0,0,blue,0,DavdBurnett,0
815719228,0.0,1,blue,0,lwtprettylaugh,0
815719229,1.0,0,blue,0,douggarland,0
815719230,1.0,1,0,1,WilfordGemma,1
815719231,0.0,1,0,1,monroevicious,1
815719233,0.0,0,blue,1,RobinMeske,0
815719234,0.0,1,0,0,pigzilla_,1
815719235,1.0,1,other,1,GabrieleNeher,1
815719238,0.0,1,other,1,kaylanabrewer_,1
815719240,0.0,1,other,1,cheyflan,1
815719241,,0,blue,1,Ayu7sith4,1
815719242,0.0,1,other,1,Toucaan_Samm,1
815719243,1.0,0,blue,0,SSmyth2010,0
815719244,,0,blue,0,DarkToonsGaming,0
815719246,1.0,1,0,1,jlpeter37,1
815719247,0.0,1,other,1,SarahMaddry,1
815719248,0.0,0,blue,0,bethleia,1
815719249,0.0,1,blue,0,StrictlyAri,0
815719250,0.0,0,blue,0,JHurkett,0
815719251,0.0,0,blue,0,karenhbullard,1
815719254,0.0,1,other,1,DearMoonshine__,1
815719255,1.0,1,other,1,RinCutie,0
815719257,1.0,0,other,1,HalRappaport,0
815719258,0.0,1,other,0,sarahamiels,1
815719259,1.0,0,blue,1,TB12ForPrez,0
815719261,0.0,0,other,1,300Stain,0
815719263,0.0,0,other,1,__amira_,1
815719265,1.0,1,other,0,brandonpattrson,0
815719267,1.0,0,other,1,danydifazio,0
815719269,0.0,1,blue,0,mrshoran_girl,0
815719270,1.0,0,blue,0,KABULALA,0
815719271,0.0,0,other,1,DJKRO,0
815719272,0.0,0,other,0,alexandraalice,1
815719273,0.0,1,blue,1,OllieC9897,0
815719274,0.0,1,blue,0,sfwhmnzne,1
815719276,0.0,0,blue,1,home8biz,0
815719277,1.0,0,blue,1,llIUMINATlRESMl,1
815719279,1.0,0,other,0,sh6ne,0
815719280,,0,other,0,Joohnlennon3,0
815719281,0.0,1,blue,1,Scott_Ryan_,0
815719282,0.0,0,blue,0,Zoe_o_Ebot,1
815719284,0.0,1,0,1,manikarthik,0
815719287,0.0,1,other,1,cheer_diva97,1
815719288,0.0,1,blue,1,BURNSlVAN,1
815719289,1.0,0,0,0,MrABPhotog,0
815719290,1.0,1,other,0,Moonfell44,1
815719291,0.0,1,other,1,realangelhes,0
815719292,1.0,1,other,1,alanhudson1,0
815719293,0.0,0,other,1,Miss_Masaya,1
