unit_id,description,fav_number,sidebar_color,tweet_count,name,gender
815719226,0.0,0,white,3,sheezy0,0
815719227,1.0,0,blue,1,DavdBurnett,0
815719228,1.0,3,blue,1,lwtprettylaugh,0
815719229,3.0,1,blue,0,douggarland,0
815719230,3.0,3,0,3,WilfordGemma,1
815719231,0.0,2,0,2,monroevicious,1
815719233,1.0,0,blue,3,RobinMeske,0
815719234,1.0,2,0,0,pigzilla_,1
815719235,3.0,2,white,2,GabrieleNeher,1
815719238,0.0,2,white,2,kaylanabrewer_,1
815719240,1.0,3,white,2,cheyflan,1
815719241,,0,blue,3,Ayu7sith4,1
815719242,0.0,2,other,2,Toucaan_Samm,1
815719243,2.0,0,blue,0,SSmyth2010,0
815719244,,0,blue,0,DarkToonsGaming,0
815719246,3.0,3,0,2,jlpeter37,1
815719247,1.0,3,other,2,SarahMaddry,1
815719248,0.0,0,blue,0,bethleia,1
815719249,0.0,2,blue,0,StrictlyAri,0
815719250,0.0,1,blue,1,JHurkett,0
815719251,1.0,1,blue,0,karenhbullard,1
815719254,1.0,2,other,3,DearMoonshine__,1
815719255,3.0,2,white,3,RinCutie,0
815719257,2.0,0,white,2,HalRappaport,0
815719258,1.0,2,white,1,sarahamiels,1
815719259,3.0,1,blue,3,TB12ForPrez,0
815719261,1.0,0,white,3,300Stain,0
815719263,0.0,1,other,3,__amira_,1
815719265,2.0,2,white,1,brandonpattrson,0
815719267,2.0,0,other,2,danydifazio,0
815719269,1.0,2,blue,1,mrshoran_girl,0
815719270,2.0,1,blue,1,KABULALA,0
815719271,1.0,0,white,3,DJKRO,0
815719272,1.0,1,other,0,alexandraalice,1
815719273,1.0,2,blue,3,OllieC9897,0
815719274,0.0,2,blue,0,sfwhmnzne,1
815719276,1.0,0,blue,3,home8biz,0
815719277,2.0,0,blue,3,llIUMINATlRESMl,1
815719279,2.0,0,white,1,sh6ne,0
815719280,,0,other,1,Joohnlennon3,0
815719281,1.0,3,blue,3,Scott_Ryan_,0
815719282,1.0,0,blue,1,Zoe_o_Ebot,1
815719284,0.0,2,0,3,manikarthik,0
815719287,0.0,3,other,2,cheer_diva97,1
815719288,1.0,3,blue,3,BURNSlVAN,1
815719289,3.0,0,0,1,MrABPhotog,0
815719290,2.0,3,other,0,Moonfell44,1
815719291,1.0,3,white,3,realangelhes,0
815719292,2.0,2,other,2,alanhudson1,0
815719293,1.0,1,other,3,Miss_Masaya,1
815719294,0.0,0,blue,0,RAEHEREEEE,1
815719295,3.0,1,0,3,Ilse_Futbolista,1
815719296,3.0,0,blue,1,ShitApolloYells,0
